host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-11T13:18:38.987835+00:00,1241714.455507,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-11T13:18:39.038775+00:00,1241714.505956,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,21625,1081300,1,0,1,1,0,1,0,1460017452,0,21140,1241714455,2369,0,0.9519738,0.0349481,"[0.8877156972885132,-0.044205982238054276,-0.012885993346571922,0.45808377861976624]","[-0.0169353149831295,-0.041867293417453766,0.03494814410805702]","[-0.2245279997587204,-0.8608580231666565,9.725038528442383]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T13:18:39.090804+00:00,1241714.557034,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,21626,1081350,1,0,1,1,0,1,0,1460017452,1,60066,1241714506,2370,0,0.9523966,0.0338359,"[0.8876374363899231,-0.04393898323178291,-0.013914993964135647,0.4582308530807495]","[-0.007205539382994175,-0.044856902211904526,0.03383592888712883]","[-0.1871269941329956,-0.8644570112228394,9.711129188537598]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T13:18:39.142941+00:00,1241714.609235,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,21627,1081400,1,0,1,1,0,1,0,1460017452,2,12679,1241714558,2371,0,0.9527632,0.0320939,"[0.8875864148139954,-0.043371956795454025,-0.014873984269797802,0.45835354924201965]","[0.006193318869918585,-0.04559040814638138,0.03209388256072998]","[-0.17044000327587128,-0.8644970059394836,9.713720321655273]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T13:18:39.195168+00:00,1241714.661419,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,21628,1081450,1,0,1,1,0,1,0,1460017452,3,26438,1241714610,2372,0,0.9530767,0.0303518,"[0.8875575661659241,-0.042573947459459305,-0.015733983367681503,0.45845547318458557]","[0.015930213034152985,-0.04754800349473953,0.030351800844073296]","[-0.16563500463962555,-0.8597450256347656,9.71130657196045]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T13:18:39.247394+00:00,1241714.713679,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,21629,1081500,1,0,1,1,0,1,0,1460017452,4,207,1241714662,2373,0,0.9533387,0.0304293,"[0.8875514268875122,-0.04151395335793495,-0.016504982486367226,0.4585375189781189]","[0.026890045031905174,-0.04824264720082283,0.030429325997829437]","[-0.13224299252033234,-0.8500580191612244,9.72594165802002]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T13:18:39.298963+00:00,1241714.765857,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,21630,1081550,1,0,1,1,0,1,0,1460017452,5,5270,1241714714,2374,0,0.9535140,0.0280463,"[0.8875737190246582,-0.0402199849486351,-0.017157992348074913,0.45858582854270935]","[0.036637794226408005,-0.04854436218738556,0.02804630808532238]","[-0.08435100317001343,-0.8363339900970459,9.694307327270508]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T13:18:39.350000+00:00,1241714.817229,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,21631,1081600,1,0,1,1,0,1,0,1460017452,6,29464,1241714766,2375,0,0.9536529,0.0280501,"[0.88760906457901,-0.03875197097659111,-0.017686987295746803,0.4586236774921417]","[0.04518118128180504,-0.04589612036943436,0.028050094842910767]","[-0.029291000217199326,-0.8128499984741211,9.673803329467773]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T13:18:39.400999+00:00,1241714.868168,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,21632,1081650,1,0,1,1,0,1,0,1460017452,7,55869,1241714817,2376,0,0.9537558,0.0268309,"[0.8876558542251587,-0.03712997958064079,-0.01811199076473713,0.45865073800086975]","[0.051285069435834885,-0.044079359620809555,0.026830948889255524]","[-0.019626999273896217,-0.7863619923591614,9.678321838378906]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T13:18:39.452118+00:00,1241714.919216,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,21633,1081700,1,0,1,1,0,1,0,1460017452,8,37964,1241714868,2377,0,0.9538067,0.0267831,"[0.8877074718475342,-0.03559198975563049,-0.01838599517941475,0.45866188406944275]","[0.05435290187597275,-0.040355972945690155,0.026783054694533348]","[-0.05102499946951866,-0.7746909856796265,9.80252742767334]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
