[EXPERIMENTAL RISK] experimental authority accepts the recorded camera/body candidate although formal acceptance gates did not pass
[EXPERIMENTAL RISK] experimental authority accepts the recorded three-axis dynamic candidates although the formal real-vehicle set remains unresolved
[EXPERIMENTAL RISK] experimental authority disables the detector-confidence threshold
[EXPERIMENTAL AUTO] trace=calibration_logs/experimental_auto_20260814_230123.jsonl
EXPERIMENTAL AUTO READY
vision=/data/Zhouyuheng_workspace/tracking_depth/depth-estimation-dev/output/statistical_r_no_nis_20260814_225314/pipeline_results.jsonl
[EXPERIMENTAL AUTO] Starting guarded camera/MPC tracking session; model=dual yaw=LOWER_LOCAL_HOLD; no joystick/manual mode exists
[NET] FineSUB transport connected
[EXPERIMENTAL AUTO] WAIT: telemetry stale, disarmed session not confirmed, waiting for confirmed fresh vision
[EXPERIMENTAL AUTO] WAIT: waiting for confirmed fresh vision
[EXPERIMENTAL AUTO] ARMING: WAIT ARMED-ZERO ACK
[EXPERIMENTAL AUTO] ACTIVE: WAIT NEW VISION
[EXPERIMENTAL AUTO] ACTIVE frame=14008 cmd=(-0.092,-0.030,+0.006) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14011 cmd=(-0.070,-0.035,+0.003) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14017 cmd=(-0.042,-0.038,-0.000) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14020 cmd=(-0.014,-0.052,-0.001) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14023 cmd=(+0.008,-0.049,-0.003) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14029 cmd=(+0.033,-0.039,-0.003) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14032 cmd=(+0.058,-0.021,-0.003) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14035 cmd=(+0.074,-0.021,-0.002) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14038 cmd=(+0.089,-0.002,-0.002) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14041 cmd=(+0.114,+0.011,-0.001) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14044 cmd=(+0.126,+0.014,-0.003) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14047 cmd=(+0.124,+0.013,-0.008) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14050 cmd=(+0.117,+0.010,-0.014) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14053 cmd=(+0.107,+0.006,-0.012) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14056 cmd=(+0.096,+0.002,-0.006) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14059 cmd=(+0.085,-0.002,-0.000) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14062 cmd=(+0.073,-0.006,+0.006) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14065 cmd=(+0.060,-0.007,+0.012) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14068 cmd=(+0.050,-0.008,+0.016) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14071 cmd=(+0.041,-0.010,+0.020) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14074 cmd=(+0.024,-0.009,+0.024) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14077 cmd=(+0.005,-0.006,+0.027) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14080 cmd=(-0.011,-0.007,+0.028) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14083 cmd=(-0.021,-0.004,+0.029) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14086 cmd=(-0.033,+0.008,+0.028) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14089 cmd=(-0.043,+0.011,+0.028) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14092 cmd=(-0.049,+0.015,+0.027) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14095 cmd=(-0.051,+0.015,+0.025) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14098 cmd=(-0.053,+0.014,+0.024) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14101 cmd=(-0.053,+0.012,+0.023) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14104 cmd=(-0.052,+0.011,+0.022) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14107 cmd=(-0.050,+0.009,+0.021) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14110 cmd=(-0.047,+0.009,+0.019) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14113 cmd=(-0.045,+0.009,+0.015) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14116 cmd=(-0.044,+0.008,+0.012) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14119 cmd=(-0.045,+0.008,+0.009) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14125 cmd=(-0.041,+0.009,+0.005) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14128 cmd=(-0.033,+0.010,+0.003) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14131 cmd=(-0.026,+0.013,-0.002) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14134 cmd=(-0.013,+0.011,-0.010) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14137 cmd=(-0.001,+0.010,-0.020) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14140 cmd=(+0.010,+0.009,-0.031) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14143 cmd=(+0.017,+0.003,-0.042) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14146 cmd=(+0.024,+0.004,-0.053) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14149 cmd=(+0.031,+0.009,-0.064) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14152 cmd=(+0.035,+0.006,-0.063) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14155 cmd=(+0.036,+0.000,-0.043) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14158 cmd=(+0.033,-0.005,-0.021) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14161 cmd=(+0.029,-0.009,-0.005) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14164 cmd=(+0.024,-0.015,+0.007) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14167 cmd=(+0.018,-0.018,+0.018) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14170 cmd=(+0.013,-0.017,+0.024) yaw=LOCAL_HOLD
